participantId,colorBlind,contraindication,DidVr,lastTimeVr,timeVr,interaction,activityVr,expectedImpactVr,experienceBio,expericenceMicro,timeComp,Did3dSoft,time3dSoft,type3dSoft,TimestampStart,TimestampEnd,moveVr,moveComp,manipVr,manipComp,concentratedVr,concentratedComp,whichEasier,language
1,No,No,Yes,More than 3 years,less than 5h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",4,I studied biology as an undergrad,I regularly work with microscopic data,More than 5h per day,Yes,less than 10h per year,"sculpting software (Zbrush, blender, Mudbox);CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",2022/04/25 10:24:13 AM GMT+2,2022/04/30 11:40:22 AM GMT+2,4.0,3.0,4.0,3.0,4.0,2.0,2.0,fra
2,No,No,No,,,,,2,I studied biology until high school,I sporadically used a microscope in school,less than 6h per week,No,,,,2022/04/29 5:32:26 PM GMT+2,4.0,5.0,4.0,5.0,3.0,4.0,4.0,fra
3,No,No,Yes,Less than 3 years,less than 1h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",3,I studied biology as an undergrad,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 3h per month,"a software to visualize 3d mesh (Microsoft's 3D Viewer, Sketchfab);rendering software (blender, 3DS max, Maya, Cinema4D)",,2022/04/28 6:52:08 PM GMT+2,4.0,4.0,5.0,5.0,4.0,3.0,3.0,fra
4,No,No,Yes,Less than 3 years,less than 1h in your life,interaction through VR handheld tracking devices,playing a video game,4,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,,,,,,,,,
5,No,No,No,,,,,4,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/29 6:42:34 PM GMT+2,3.0,5.0,5.0,5.0,4.0,5.0,4.0,fra
6,No,No,Yes,Less than one year,less than 5h in your life,No interactions other than head movements;interaction through a classic game controller,"playing a video game;visualizing data (building blueprint, medical imaging, etc);training myself in a simulator in a professional context (military or medical simulator, etc)",4,I studied biology as an undergrad,I have already analysed 3d lightsheet microscopic data,More than 5h per day,Yes,less than 10h per year,"a software to visualize 3d volumetric data (3D Slicer, any DICOM viewer, etc);CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",2022/04/25 9:19:34 AM GMT+2,2022/04/30 4:44:35 PM GMT+2,5.0,4.0,4.0,4.0,5.0,4.0,2.142857142857143,eng
7,No,No,Yes,Less than 3 years,less than 1h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",4,I studied biology as an undergrad,I regularly work with microscopic data,More than 5h per day,No,,,,2022/04/28 11:22:34 AM GMT+2,3.0,4.0,3.0,4.0,4.0,4.0,4.0,fra
8,No,No,Yes,Less than one year,less than 1h in your life,,"watching 3d cinema (sporting events, music videos, short films, etc)",4,I studied biology as an undergrad,I regularly work with microscopic data,Less than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/28 3:06:34 PM GMT+2,5.0,5.0,5.0,5.0,5.0,4.0,2.0,fra
9,No,No,Yes,Less than 3 years,less than 1h in your life,interaction through a classic game controller,playing a video game,5,I studied biology as an undergrad,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 3h per month,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",2022/04/26 2:53:36 PM GMT+2,2022/04/30 12:59:37 PM GMT+2,5.0,5.0,4.0,5.0,3.0,4.0,2.0,fra
10,No,No,Yes,Less than one year,less than 5h in your life,No interactions other than head movements,"playing a video game;visualizing data (building blueprint, medical imaging, etc)",2,I studied biology as an undergrad,I regularly work with microscopic data,More than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/27 4:13:16 PM GMT+2,4.0,3.0,3.0,5.0,3.0,4.0,4.0,fra
11,No,No,Yes,Less than one year,less than 5h in your life,interaction through a classic game controller;interaction through VR handheld tracking devices,playing a video game,3,I have a solid background in embryology and developmental biology,I regularly work with microscopic data,More than 5h per day,Yes,less than 10h per year,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/29 9:51:01 AM GMT+2,4.0,5.0,4.0,5.0,4.0,5.0,4.0,fra
12,No,No,Yes,Less than one year,less than 5h in your life,interaction through VR handheld tracking devices,"training myself in a simulator in a professional context (military or medical simulator, etc)",3,I studied biology until high school,I sporadically used a microscope in school,More than 5h per day,No,,,,2022/04/28 12:30:56 PM GMT+2,3.0,4.0,5.0,5.0,4.0,3.0,4.0,fra
13,No,No,Yes,Less than one month,less than 3h per month,interaction through a classic game controller;interaction through VR handheld tracking devices,"playing a video game;watching 3d cinema (sporting events, music videos, short films, etc)",4,I studied biology until high school,I sporadically used a microscope in school,More than 5h per day,Yes,less than 5h in your life,"a software to visualize 3d mesh (Microsoft's 3D Viewer, Sketchfab);rendering software (blender, 3DS max, Maya, Cinema4D)",,2022/04/27 3:30:54 PM GMT+2,5.0,4.0,5.0,4.0,4.0,4.0,2.0,fra
14,No,No,No,,,,,3,I studied biology as an undergrad,I sporadically used a microscope in school,Less than 5h per day,No,,,,2022/04/30 1:44:48 PM GMT+2,4.0,2.0,5.0,5.0,3.0,3.0,1.0,fra
15,No,No,Yes,Less than one month,less than 5h in your life,interaction through VR handheld tracking devices,"playing a video game;3d sculpting or painting (tilt brush, Oculus Medium, etc);Communicating with other people in a virtual environment;watching 3d cinema (sporting events, music videos, short films, etc);training myself in a simulator in a professional context (military or medical simulator, etc)",3,I studied biology until high school,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 5h in your life,,2022/05/02 4:12:54 PM GMT+2,2022/05/02 6:36:01 PM GMT+2,5.0,3.0,5.0,3.0,4.0,2.0,3.5714285714285716,eng
16,No,No,Yes,Less than one year,less than 5h in your life,interaction through VR handheld tracking devices,playing a video game,4,I studied biology until high school,I sporadically used a microscope in school,More than 5h per day,No,,,,2022/04/27 1:59:20 PM GMT+2,4.0,3.0,5.0,4.0,4.0,3.0,,fra
17,No,No,Yes,Less than 3 years,less than 1h in your life,interaction through VR handheld tracking devices,,4,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 5h in your life,"a game engine (Unity, Unreal Engine, Godot)",2022/05/02 8:17:16 AM GMT+2,2022/05/02 9:50:02 AM GMT+2,4.0,4.0,4.0,5.0,4.0,3.0,4.285714285714286,eng
18,No,No,Yes,Less than 3 years,less than 1h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",2,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/29 2:55:08 PM GMT+2,2.0,4.0,4.0,4.0,2.0,4.0,5.0,fra
19,No,No,Yes,More than 3 years,less than 1h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",3,I studied biology as an undergrad,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/29 11:48:03 AM GMT+2,4.0,5.0,3.0,4.0,5.0,4.0,3.0,fra
20,No,No,Yes,More than 3 years,less than 1h in your life,interaction through VR handheld tracking devices,"visualizing data (building blueprint, medical imaging, etc)",4,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 10h per year,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",2022/04/29 9:41:16 AM GMT+2,2022/05/02 11:21:28 AM GMT+2,4.0,3.0,5.0,3.0,5.0,3.0,4.285714285714286,eng
21,No,No,No,,,,,4,I studied biology as an undergrad,I regularly work with microscopic data,Less than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/05/02 12:25:37 PM GMT+2,5.0,5.0,3.0,5.0,4.0,3.0,2.0,fra
22,No,No,No,,,,,4,I studied biology as an undergrad,I sporadically used a microscope in school,More than 5h per day,Yes,less than 10h per year,"a software to visualize 3d mesh (Microsoft's 3D Viewer, Sketchfab);CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/04/29 3:59:39 PM GMT+2,5.0,5.0,4.0,5.0,5.0,4.0,3.0,fra
24,No,No,Yes,More than 3 years,less than 1h in your life,No interactions other than head movements,"watching 3d cinema (sporting events, music videos, short films, etc)",3,I studied biology as an undergrad,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 5h in your life,"CAD software (Fusion 360, AutoCAD, FreeCAD, SketchUp)",,2022/05/02 5:29:30 PM GMT+2,4.0,5.0,4.0,5.0,2.0,3.0,2.0,fra
25,No,No,Yes,Less than one week,less than 6h per week,interaction through VR handheld tracking devices,"playing a video game;3d sculpting or painting (tilt brush, Oculus Medium, etc);Communicating with other people in a virtual environment;visualizing data (building blueprint, medical imaging, etc);watching 3d cinema (sporting events, music videos, short films, etc)",5,I studied biology until middle school,I sporadically used a microscope in school,Less than 5h per day,Yes,less than 6h per week,"a software to visualize 3d mesh (Microsoft's 3D Viewer, Sketchfab);a game engine (Unity, Unreal Engine, Godot);a software to visualize 3d volumetric data (3D Slicer, any DICOM viewer, etc);sculpting software (Zbrush, blender, Mudbox);rendering software (blender, 3DS max, Maya, Cinema4D)",,2022/05/02 3:43:52 PM GMT+2,4.0,4.0,4.0,4.0,4.0,4.0,2.0,fra
