participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
16,VR,1,184.9094696044922,269.0961303710937,2022-04-27 13:36:32,3,6,0.8571428571428571,1,1,1,0.6530612244897959,5
16,VR,2,342.4001770019531,221.31451416015625,2022-04-27 13:49:19,4,4,0.5714285714285714,1,1,1,0.24489795918367346,7
13,VR,2,34.628631591796875,304.1309509277344,2022-04-27 14:43:34,1,3,0.42857142857142855,1,1,1,0.3877551020408163,5
13,VR,1,162.1418914794922,227.08062744140625,2022-04-27 14:54:16,2,5,0.7142857142857143,1,1,1,0.5306122448979592,5
13,Comp,1,370.54779052734375,247.13282775878903,2022-04-27 15:13:53,3,3,0.42857142857142855,1,1,3,0.22448979591836735,7
10,VR,1,47.98808288574219,202.3360137939453,2022-04-27 15:47:00,1,1,0.14285714285714285,1,1,3,0.04081632653061224,7
10,VR,2,11.739753723144531,178.98171997070312,2022-04-27 15:53:34,2,4,0.5714285714285714,1,1,1,0.3877551020408163,7
10,Comp,2,75.48204040527344,107.0498046875,2022-04-27 16:04:09,3,3,0.42857142857142855,1,1,1,0.32653061224489793,6
7,VR,1,57.98800277709961,335.296875,2022-04-28 10:48:32,1,3,0.42857142857142855,1,1,2,0.2653061224489796,7
7,VR,2,206.2554626464844,174.45835876464844,2022-04-28 10:58:02,2,3,0.42857142857142855,1,1,1,0.3469387755102041,7
7,Comp,2,112.46288299560548,154.67884826660156,2022-04-28 11:11:22,3,4,0.5714285714285714,1,1,1,0.46938775510204084,6
7,Comp,1,87.04796600341797,341.22509765625,2022-04-28 11:21:32,4,5,0.7142857142857143,2,2,1,0.5714285714285714,6
12,VR,1,101.29466247558594,91.1662826538086,2022-04-28 11:56:33,1,5,0.7142857142857143,1,1,2,0.5306122448979592,5
12,VR,2,117.6418228149414,165.11215209960938,2022-04-28 12:04:56,2,2,0.2857142857142857,1,1,1,0.16326530612244897,7
12,Comp,2,131.09469604492188,169.9921112060547,2022-04-28 12:21:16,3,3,0.42857142857142855,1,1,1,0.1836734693877551,7
12,Comp,1,129.84507751464844,134.59742736816406,2022-04-28 12:28:58,4,4,0.5714285714285714,2,2,1,0.40816326530612246,7
8,Comp,2,17.699689865112305,250.6003875732422,2022-04-28 14:13:51,1,4,0.5714285714285714,1,1,1,0.42857142857142855,6
8,Comp,1,128.59458923339844,215.58770751953125,2022-04-28 14:22:49,2,3,0.42857142857142855,1,1,1,0.32653061224489793,6
8,VR,1,79.40636444091797,188.31939697265625,2022-04-28 14:56:40,3,4,0.5714285714285714,1,1,1,0.4489795918367347,5
8,VR,2,86.31451416015625,167.2017059326172,2022-04-28 15:04:22,4,4,0.5714285714285714,1,1,1,0.3877551020408163,6
3,VR,2,48.89813232421875,256.2717590332031,2022-04-28 18:15:46,1,4,0.5714285714285714,1,1,1,0.3877551020408163,7
3,VR,1,81.47441864013672,239.628662109375,2022-04-28 18:24:20,2,5,0.7142857142857143,2,2,1,0.6122448979591837,4
