participantId,device,datasetId,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
16,VR,1,6,0.8571428571428571,1,1,1,0.6530612244897959,5
16,VR,2,4,0.5714285714285714,1,1,1,0.24489795918367346,7
13,VR,2,3,0.42857142857142855,1,1,1,0.3877551020408163,5
13,VR,1,5,0.7142857142857143,1,1,1,0.5306122448979592,5
13,Comp,1,3,0.42857142857142855,1,1,3,0.22448979591836735,7
10,VR,1,1,0.14285714285714285,1,1,3,0.04081632653061224,7
10,VR,2,4,0.5714285714285714,1,1,1,0.3877551020408163,7
10,Comp,2,3,0.42857142857142855,1,1,1,0.32653061224489793,6
7,VR,1,3,0.42857142857142855,1,1,2,0.2653061224489796,7
7,VR,2,3,0.42857142857142855,1,1,1,0.3469387755102041,7
7,Comp,2,4,0.5714285714285714,1,1,1,0.46938775510204084,6
7,Comp,1,5,0.7142857142857143,2,2,1,0.5714285714285714,6
12,VR,1,5,0.7142857142857143,1,1,2,0.5306122448979592,5
12,VR,2,2,0.2857142857142857,1,1,1,0.16326530612244897,7
12,Comp,2,3,0.42857142857142855,1,1,1,0.1836734693877551,7
12,Comp,1,4,0.5714285714285714,2,2,1,0.40816326530612246,7
8,Comp,2,4,0.5714285714285714,1,1,1,0.42857142857142855,6
8,Comp,1,3,0.42857142857142855,1,1,1,0.32653061224489793,6
8,VR,1,4,0.5714285714285714,1,1,1,0.4489795918367347,5
8,VR,2,4,0.5714285714285714,1,1,1,0.3877551020408163,6
3,VR,2,4,0.5714285714285714,1,1,1,0.3877551020408163,7
3,VR,1,5,0.7142857142857143,2,2,1,0.6122448979591837,4
3,Comp,1,5,0.7142857142857143,1,1,1,0.5306122448979592,5
3,Comp,2,3,0.42857142857142855,1,1,1,0.22448979591836735,7
11,VR,1,5,0.7142857142857143,1,1,1,0.42857142857142855,5
11,VR,2,4,0.5714285714285714,1,1,1,0.2857142857142857,7
19,VR,1,5,0.7142857142857143,1,1,1,0.3877551020408163,6
