"Timestamp","Merci de remplir votre identifiant ici.","A-t-il été facile de se déplacer autour du dataset avec le casque VR ?","A-t-il été facile de se déplacer autour du dataset sur l'ordinateur ?","A-t-il été facile de se manipuler les objets que vous deviez trier avec le casque VR ?","A-t-il été facile de se manipuler les objets que vous deviez trier sur l'ordinateur ?","Quel était votre niveau de concentration durant l'expérience avec le casque VR ?","Quel était votre niveau de concentration durant l'expérience sur l'ordinateur ?","Avez-vous trouvé la tâche plus facile en réalité virtuelle ou sur l'ordinateur ?"
"2022/04/27 1:59:20 PM GMT+2","16","4","3","5","4","4","3","Fortement plus facile en réalité virtuelle"
"2022/04/27 3:30:54 PM GMT+2","13","5","4","5","4","4","4","2"
"2022/04/27 4:13:16 PM GMT+2","10","4","3","3","5","3","4","4"
"2022/04/28 11:22:34 AM GMT+2","7","3","4","3","4","4","4","4"
"2022/04/28 12:30:56 PM GMT+2","12","3","4","5","5","4","3","4"
"2022/04/28 3:06:34 PM GMT+2","8","5","5","5","5","5","4","2"
"2022/04/28 6:52:08 PM GMT+2","3","4","4","5","5","4","3","3"
"2022/04/29 9:51:01 AM GMT+2","11","4","5","4","5","4","5","4"
"2022/04/29 11:48:03 AM GMT+2","19","4","5","3","4","5","4","3"
"2022/04/29 2:55:08 PM GMT+2","18","2","4","4","4","2","4","5"
"2022/04/29 3:59:39 PM GMT+2","22","5","5","4","5","5","4","3"
"2022/04/29 5:32:26 PM GMT+2","2","4","5","4","5","3","4","4"
"2022/04/29 6:42:34 PM GMT+2","5","3","5","5","5","4","5","4"
"2022/04/30 11:40:22 AM GMT+2","1","4","3","4","3","4","2","2"
"2022/04/30 12:59:37 PM GMT+2","9","5","5","4","5","3","4","2"
"2022/04/30 1:44:48 PM GMT+2","14","4","2","5","5","3","3","1"
"2022/05/02 12:25:37 PM GMT+2","21","5","5","3","5","4","3","2"
"2022/05/02 3:43:52 PM GMT+2","25","4","4","4","4","4","4","2"
"2022/05/02 5:29:30 PM GMT+2","24","4","5","4","5","2","3","2"
